date,neutral,rank_home,total_points_home,rank_change_home,rank_away,total_points_away,rank_change_away,winner,home_goals_avg,away_goals_avg,home_win_avg,away_win_avg,home_last_wins,away_last_wins,home_team_encoded,away_team_encoded,confederation_home_encoded,confederation_away_encoded,tournament_encoded
2023-03-24,False,45.0,1449.05,-1.0,126.0,1137.57,0.0,0,1.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,1,1,114,68,1,1,7
2023-03-24,False,27.0,1533.97,-11.0,41.0,1477.32,-3.0,0,1.0,1.2857142857142858,0.7142857142857143,0.7142857142857143,0,1,11,55,0,3,42
2023-03-24,False,148.0,1056.64,-1.0,134.0,1113.15,1.0,0,1.1428571428571428,0.5714285714285714,0.42857142857142855,0.2857142857142857,3,0,98,145,0,0,42
2023-03-24,False,162.0,995.11,0.0,161.0,995.58,0.0,0,0.8571428571428571,1.0,0.14285714285714285,0.2857142857142857,2,3,178,129,4,4,42
2023-03-24,True,77.0,1312.64,0.0,82.0,1294.96,0.0,0,2.5714285714285716,0.5714285714285714,0.8571428571428571,0.0,0,0,194,24,0,3,42
2023-03-24,True,50.0,1434.81,-4.0,127.0,1128.92,0.0,0,1.4285714285714286,1.0,0.42857142857142855,0.42857142857142855,4,1,31,183,1,1,7
2023-03-24,True,83.0,1290.47,0.0,138.0,1091.19,0.0,0,0.5714285714285714,1.2857142857142858,0.2857142857142857,0.42857142857142855,3,1,77,62,1,1,7
2023-03-24,False,39.0,1490.34,0.0,124.0,1144.97,0.0,0,1.4285714285714286,1.0,0.5714285714285714,0.42857142857142855,2,1,56,111,1,1,7
2023-03-25,False,10.0,1692.71,3.0,43.0,1475.05,1.0,0,2.142857142857143,2.5714285714285716,0.5714285714285714,0.7142857142857143,3,1,170,137,5,5,79
2023-03-25,False,42.0,1476.94,2.0,110.0,1185.17,0.0,0,1.8571428571428572,1.0,0.5714285714285714,0.42857142857142855,3,0,157,49,5,5,79
2023-03-25,False,151.0,1033.9,-1.0,141.0,1075.27,0.0,0,2.5714285714285716,1.7142857142857142,0.7142857142857143,0.42857142857142855,0,0,86,32,0,1,42
